Sr.No, MT104, MT119, CS118, CL118, EE182, SL101, SS101, EE227, SS122, MT224, SS111, CS217, EL227, CL217, CS201(DATA STRUCTURES), , CGPA, , WARNING
160,,B+,C,C-,B+,B-,A-,D,,B,B-,C-,F,C+,C+,,2.13,,0
162,F,B+,A-,A-,A-,F,B-,,C,C,D,B+,B,D+,D+,,2.66,,0
163,,C-,A-,C-,A-,B,D+,B,,C,C+,B,C+,F,C+,,2.26,,0
170,C+,C-,C+,B,C,D,B-,,C+,C-,F,D,C,D,C,,1.75,,0
171,,C,C,F,A-,B+,C-,A,,C-,D+,D,F,C,C+,,1.78,,0
174,B+,F,B+,B+,F,A-,B,,B-,A+,A-,B,B+,B+,A-,,3.39,,0
175,,A-,B-,C+,A,A,A-,B+,,D+,C,D,D+,C+,F,,2.29,,0
177,B-,C+,B-,A-,B+,A,B+,,B-,A-,C+,B+,A,B-,B-,,3,,0
179,C,B,D+,B,B,C+,D+,,F,B-,C+,B,B,F,C+,,2.2,,0
180,,C+,A-,A,D+,C,C-,C+,,D,D,A-,D+,C-,A,,2.3,,0
186,A,B-,A,A-,A,A+,A+,,D+,A-,D,B+,B+,B,B-,,3.12,,0
187,,B,D,B+,B,C+,B-,C,,A-,D+,B+,D+,B+,F,,2.29,,0
188,C,B+,C+,B-,B+,B+,B-,,C,B+,D,B-,B-,D,C-,,2.26,,0
192,C+,A+,A+,C+,B+,A+,A,,D,B-,A-,A-,A,B-,B-,,3.07,,0
193,,D,C+,C+,D+,A,A-,C-,,B,F,A+,C,D,B-,,2.14,,0
195,B+,A,B,A+,A+,A-,A+,,B+,C-,B-,B+,B+,B-,C-,,3.24,,0
196,,A,C-,B-,A-,C,C,B-,W,W,W,W,W,W,W,,2.51,,0
199,A,A-,C+,B+,B,B-,B-,,C+,B,A-,A-,B+,B,C,,2.94,,0
208,C,B,C+,C-,C+,B,C-,,C+,B-,B,C-,B,C+,D+,,2.28,,0
209,,F,B+,B+,C,B+,F,B,D+,C-,C+,C,C-,F,C+,,2.17,,0
210,,A,C+,B,B+,B,C-,B,,C,B,D,A,B+,C+,,2.69,,0
211,C,B-,C,B-,B,B,B+,,D+,A-,B+,B,F,A-,A,,2.56,,0
213,A-,B,A-,B+,A-,B+,A+,,B+,A-,A,C,A+,A,B+,,3.4,,0
215,B,B+,D+,C-,A-,A-,D,,B+,A-,C-,F,F,C+,B+,,2.39,,0
221,C-,B+,D+,A+,A,A-,C-,,A,C+,B,C-,B-,B+,C,,2.63,,0
222,,B+,A-,B-,B-,C-,B,C,,D+,B-,F,B-,A+,D,,2.47,,0
223,B+,F,B-,B,B,F,B-,,D+,C-,D,D+,A-,C-,D,,2.28,,0
224,,D+,C,C-,B,B-,D+,F,B-,F,B,F,F,B+,D,,1.67,,3
227,C+,F,F,A-,B,B+,A-,,D,B+,A,C-,C,B,A,,3.03,,0
228,,C-,D,C,D,F,B,B+,,C-,C,D+,B+,C,C,,2.16,,0
230,B-,A-,B,C+,A,B,A,,A,A,A-,B,B-,A,A,,3.31,,0
231,,B,C,B-,B-,C+,B,B,B-,C+,C+,C-,B-,B-,C-,,2.39,,0
232,,B+,B,B+,A,D,D+,B,C+,B+,B,D,D,C+,C+,,2.58,,0
233,,B-,D,C-,D,C+,A,A-,,D,B-,F,A,C,F,,1.87,,0
236,C+,B+,B-,B+,A-,D,C+,,F,C,C-,A-,D,C,FA,,2.13,,2
237,,D,B-,D+,F,B,D,B,C+,C,C+,C+,B-,C+,D,,2.3,,0
238,,A-,A-,B,A,B,A,A,,C,C-,B,B+,B+,C,,2.8,,0
239,B,A-,A,D+,D,F,C-,,A-,A,B,B-,C+,A-,B+,,2.9,,0
240,,C-,A-,B-,A-,A-,B+,B+,,C+,A-,A,B,C+,B-,,3.04,,0
242,B+,B,A,B,A+,A,A-,,C-,D,A,C+,B+,B-,A,,3.12,,0
244,C,C+,B-,B+,B+,B+,C-,,C+,A-,C+,B+,C,B-,C-,,2.57,,0
245,,B-,A,B+,C-,C+,D+,C,,C+,C+,F,B,A-,B-,,2.33,,0
247,D,B,D,B,C,D+,D+,,B,C+,C+,F,D+,B-,C+,,2.02,,0
248,,B+,C,B,C+,B+,A-,C+,C,C+,C+,B,F,F,B-,,2.4,,0
249,,F,A,C-,C-,B,C,F,,C+,D+,D,F,A,C-,,2.13,,0
251,C-,A-,C+,D+,C+,B-,B,,B-,D,B+,F,F,D,C+,,1.8,,0
252,,F,D+,F,D,F,A-,B,,B-,C,C,B+,C,B+,,2.79,,0
256,D,D,C+,D,F,D,F,,C+,C-,C+,C-,B,C-,B+,,1.96,,0
257,,B+,A,B+,A,C+,A-,D,,B-,B,C,B-,C,B+,,2.85,,0
262,B,A,D+,C-,C,A+,C-,,A-,A,A,B-,C,C+,B-,,2.64,,0
265,B+,B,B-,B+,A-,C,C+,,C-,C,C-,C+,C,B,C+,,2.53,,0
269,B-,B-,D+,B,F,F,C-,,B+,C-,A,C+,C+,B-,B,,2.45,,0
270,,C+,B,B,C+,B+,B+,B+,,A-,A-,A-,C,A-,B+,,3.03,,0
272,B-,B,C,B,A,A-,A-,,C+,B,A-,B,C,B+,C+,,2.85,,0
273,,F,F,C,B-,B,B-,B,F,D+,C+,C-,C+,D+,F,,1.94,,0
274,,F,A-,C+,A-,C-,D+,D+,,C,D+,B+,C+,C-,B+,,2.24,,0
276,A-,D,B+,F,A,B-,B+,,C,A-,A-,D+,C,B,A,,3.22,,0
278,B+,C,C,B,B-,B+,B-,,B+,D+,C-,A-,B+,C-,B-,,2.59,,0
281,B-,A,A-,C+,C+,D,B,,D,D+,B-,C+,F,D+,C,,2.01,,0
282,,A-,A-,A,B+,A,A,A+,,A+,A-,C,B-,A-,A,,3.57,,0
290,F,D+,C+,C-,C,B,B,,C+,C+,D,B+,B,C,C+,,2.45,,0
291,,B+,C-,B-,C-,B,D,B,,F,B-,F,F,B-,B,,1.87,,0
297,B+,A-,D,A,B+,A-,A-,,C-,D,W,C+,B,B,C-,,2.62,,0
298,,F,C+,B-,C,F,C-,B,,C+,C,D,C+,C+,C,,2.14,,0
299,,F,F,B+,B+,F,F,F,F,FA,FA,FA,F,FA,FA,,0.56,,2
300,,C+,B+,B+,C,B,F,C-,,B-,C-,C-,C,B,A-,,2.5,,0
301,B-,B+,B,B,B-,C+,D,,F,C+,A,A-,A,D,C-,,2.24,,0
302,,A,D,A-,A+,B-,F,B,,A,D+,B,A-,D+,A-,,3.28,,0
324,C,B,B,B-,C+,C-,C,,F,C,B,D,B,C,C,,2.09,,0
332,C+,C+,A,C-,B-,B+,C+,,C,B,B,D,D,B-,C,,2.31,,0
362,B-,C,B+,C+,B-,C,B,,B-,D,B,B-,B,C+,D+,,2.43,,0
392,B,F,F,B-,B+,B-,C-,,C,C,C-,B-,B,D+,B,,2.5,,0
402,B,C+,B,C+,C-,C-,B+,,D+,D,C,F,F,C-,B,,1.81,,0
432,A-,C-,B+,B-,C-,C,B-,,B,D,C,A,B+,C+,D+,,2.47,,0
529,B,B+,D,A-,A,A-,A,C-,B+,F,B,C,D,B,B,,2.78,,0